overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
2.0,True,"01 5, 2017",AW8UBYMNJ894V,B000KPIHQ4,"{'Size Name:': "" Men's 8-8.5, Women's 10-10.5"", 'Style:': ' Pinnacle'}",Cognizant Consumer,"this is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. unfortunately, the ones i ordered from smartdestination must be seconds as they kill my feet. the hard plastic insert rubs on the outside edges of my feet. i am unable to exchange them as i waited one day too late to use them in my walking shoes.",Not the same as all my other pairs.,1483574400,,
5.0,True,"10 17, 2016",A265UZVOZWTTXQ,B000KPIHQ4,,William_Jasper,we have used these inserts for years.  they provide great support.,Great inserts,1476662400,,
5.0,True,"08 22, 2016",AW8UBYMNJ894V,B000KPIHQ4,,Cognizant Consumer,"pinnacle seems to have more cushioning so my husband likes them better. he's tried all the other powerstep inserts as well as other brands. this is his must have insert. he is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. he is very active and wears these in all his shoes. his bone spurs rarely bother him any more. remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",Personal favorite,1471824000,,
5.0,True,"03 23, 2016",A265UZVOZWTTXQ,B000KPIHQ4,,William_Jasper,excellent insole with good support.,Five Stars,1458691200,,
5.0,True,"06 24, 2015",AW8UBYMNJ894V,B000KPIHQ4,,Cognizant Consumer,a little more cushion than the powerstep protech but the arch is maybe just a little lower. we love both styles. excellent for plantar fasciitis and neuromas.,Great comfort!,1435104000,,
5.0,True,"11 17, 2014",A265UZVOZWTTXQ,B000KPIHQ4,,William_Jasper,these insoles help my heels feel much better.  i would never wear a pair of athletic shoes with the original insoles.,These insoles help my heel feels much better. I would never wear a pair of athletic ...,1416182400,,
2.0,True,"01 25, 2018",A3HX4X3TIABWOV,B000V0IBDM,,Denise A. Conte,relieved my plantar fascitis for 3 days. then the unbearable pain returned in full force. these were recommended by my podiatrist.,These were recommended by my Podiatrist,1516838400,,
2.0,True,"01 5, 2017",AW8UBYMNJ894V,B000V0IBDM,,Cognizant Consumer,"this is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. unfortunately, the ones i ordered from smartdestination must be seconds as they kill my feet. the hard plastic insert rubs on the outside edges of my feet. i am unable to exchange them as i waited one day too late to use them in my walking shoes.",Not the same as all my other pairs.,1483574400,,
5.0,True,"10 17, 2016",A265UZVOZWTTXQ,B000V0IBDM,,William_Jasper,we have used these inserts for years.  they provide great support.,Great inserts,1476662400,,
5.0,True,"08 22, 2016",AW8UBYMNJ894V,B000V0IBDM,,Cognizant Consumer,"pinnacle seems to have more cushioning so my husband likes them better. he's tried all the other powerstep inserts as well as other brands. this is his must have insert. he is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. he is very active and wears these in all his shoes. his bone spurs rarely bother him any more. remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",Personal favorite,1471824000,,
5.0,True,"03 23, 2016",A265UZVOZWTTXQ,B000V0IBDM,,William_Jasper,excellent insole with good support.,Five Stars,1458691200,,
5.0,True,"06 24, 2015",AW8UBYMNJ894V,B000V0IBDM,,Cognizant Consumer,a little more cushion than the powerstep protech but the arch is maybe just a little lower. we love both styles. excellent for plantar fasciitis and neuromas.,Great comfort!,1435104000,,
5.0,True,"11 17, 2014",A265UZVOZWTTXQ,B000V0IBDM,,William_Jasper,these insoles help my heels feel much better.  i would never wear a pair of athletic shoes with the original insoles.,These insoles help my heel feels much better. I would never wear a pair of athletic ...,1416182400,,
1.0,True,"03 12, 2018",A3QY3THQ42WSCQ,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,waaaay too big,One Star,1520812800,,
5.0,True,"02 8, 2018",AGZ5OOZVDO194,B000YFSR5G,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Amazon Customer,comfortable,Five Stars,1518048000,,
4.0,True,"07 1, 2010",A3GJ3DJU1RXOHN,B000YFSR4W,,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,1277942400,35,
5.0,True,"10 25, 2017",A232J1FHOQI5YN,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Navy'}",Louis Robbio,good product for the price.  used very day and no problem.,Five Stars,1508889600,,
5.0,True,"10 14, 2017",A2ON4RYI9Z4SQ,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Light Steel'}",Fhteacher,good fit even after washing in hot water to force shrinking. i have a 30 inch inseam and 34 waist and got a medium size. note that these sweatpants are very thick so not good for warm climates. good quality and great price.,Good fit,1507939200,3,
1.0,True,"03 12, 2018",A3QY3THQ42WSCQ,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,waaaay too big,One Star,1520812800,,
5.0,True,"07 30, 2017",A232J1FHOQI5YN,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Light Steel'}",Louis Robbio,excellent value.  comfortable.,Excellent Product,1501372800,,
5.0,True,"06 16, 2017",A1EZN3E9R322YJ,B000YFSR5G,"{'Size:': ' XXX-Large', 'Color:': ' Deep Royal'}",wayne ereira,"typical hanes quality. good weight, sized just right, made pretty well",Typical Quality,1497571200,,
3.0,True,"04 18, 2017",A3T8NHQYBQSV1X,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Navy'}",Mark,"the waist string broke first time trying them on. luckily i don't really need the wast string but it would be nice if it did not break.

that being said the pants fit as expected and are comfortable. probably shop around next time i make a sweatpant purchase.",Don't sweat the pants,1492473600,,
5.0,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Charcoal Heather'}",jami,"fit perfectly. i bought dark grey, and they didn't fade",Five Stars,1492041600,,
3.0,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Black'}",jami,they fit great. but they fade bad,Three Stars,1492041600,,
4.0,True,"04 5, 2017",A3T8NHQYBQSV1X,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Black'}",Mark,i only give four stars because the pants have no pockets.,Four Stars,1491350400,,
3.0,True,"03 24, 2017",A1G0HYMR02WM2W,B000YFSR5G,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Cici Ciconia,average product.  as described.,Three Stars,1490313600,,
5.0,True,"02 8, 2018",AGZ5OOZVDO194,B000YFSR4W,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Amazon Customer,comfortable,Five Stars,1518048000,,
5.0,True,"03 11, 2017",A2BFZUQ2XV535H,B000YFSR5G,"{'Size:': ' Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,comfy fit,Five Stars,1489190400,,
2.0,True,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Black'}",Sammy C.,nice pants but too small for a medium. return it.,Returned also,1487635200,,
2.0,True,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Navy'}",Sammy C.,nice pants but too small for a medium. returned it.,Returned,1487635200,,
4.0,True,"02 21, 2017",A1Y01U6OZLZE7I,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Heather Devine,"very comfy. if they had pockets, theyd be awesome! i bought these for me to lounge around in and my husband has stolen them. i might have to buy another pair!",Comfy and warm.,1487635200,,
1.0,True,"02 8, 2017",A21HH0VIBKK80J,B000YFSR5G,,Sondra McDonald,"was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",1486512000,,
3.0,True,"02 1, 2017",A1G0HYMR02WM2W,B000YFSR5G,"{'Size:': ' XXX-Large', 'Color:': ' Light Steel'}",Cici Ciconia,as described.,Three Stars,1485907200,,
5.0,True,"01 23, 2017",A2BFZUQ2XV535H,B000YFSR5G,,Amazon Customer,very comfy for wearing at home.,Five Stars,1485129600,,
5.0,True,"03 8, 2016",A3E30OLSMGJEVK,B000YFSR5G,,ladybug,so comfortable and soft.,Hanes pants,1457395200,,
2.0,True,"10 26, 2015",A26TEJJ6YOGWMZ,B000YFSR5G,,Henry A.,"did not fit well. was not comfortable. switched to ""fruit of the loom"". fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",1445817600,,
3.0,True,"06 11, 2015",A2J9WEIRNVTX61,B000YFSR5G,,Wildcat,"no pockets and huge, the bottom of the pants go over shoes",large with no pockets,1433980800,,
4.0,True,"05 24, 2015",A2UUEV4MYOJY66,B000YFSR5G,,Fix-it Man,not much for wearing anything other than jeans. these fit ok for my size. nice for lounging in around the house.,Fleece Pants,1432425600,,
5.0,True,"03 8, 2016",A3E30OLSMGJEVK,B000YFSR5G,,ladybug,so comfortable and soft.,Hanes pants,1457395200,,
2.0,True,"10 26, 2015",A26TEJJ6YOGWMZ,B000YFSR5G,,Henry A.,"did not fit well. was not comfortable. switched to ""fruit of the loom"". fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",1445817600,,
3.0,True,"06 11, 2015",A2J9WEIRNVTX61,B000YFSR5G,,Wildcat,"no pockets and huge, the bottom of the pants go over shoes",large with no pockets,1433980800,,
4.0,True,"05 24, 2015",A2UUEV4MYOJY66,B000YFSR5G,,Fix-it Man,not much for wearing anything other than jeans. these fit ok for my size. nice for lounging in around the house.,Fleece Pants,1432425600,,
5.0,True,"02 4, 2015",A36GNVEQP92OPA,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Navy'}",Peter B. Thorp,"love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.",Five Stars,1423008000,,
5.0,True,"10 25, 2017",A232J1FHOQI5YN,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Navy'}",Louis Robbio,good product for the price.  used very day and no problem.,Five Stars,1508889600,,
5.0,True,"10 14, 2017",A2ON4RYI9Z4SQ,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Light Steel'}",Fhteacher,good fit even after washing in hot water to force shrinking. i have a 30 inch inseam and 34 waist and got a medium size. note that these sweatpants are very thick so not good for warm climates. good quality and great price.,Good fit,1507939200,3,
4.0,True,"07 1, 2010",A3GJ3DJU1RXOHN,B000YFSR5G,,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,1277942400,35,
5.0,True,"07 30, 2017",A232J1FHOQI5YN,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Light Steel'}",Louis Robbio,excellent value.  comfortable.,Excellent Product,1501372800,,
5.0,True,"06 16, 2017",A1EZN3E9R322YJ,B000YFSR4W,"{'Size:': ' XXX-Large', 'Color:': ' Deep Royal'}",wayne ereira,"typical hanes quality. good weight, sized just right, made pretty well",Typical Quality,1497571200,,
3.0,True,"04 18, 2017",A3T8NHQYBQSV1X,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Navy'}",Mark,"the waist string broke first time trying them on. luckily i don't really need the wast string but it would be nice if it did not break.

that being said the pants fit as expected and are comfortable. probably shop around next time i make a sweatpant purchase.",Don't sweat the pants,1492473600,,
5.0,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Charcoal Heather'}",jami,"fit perfectly. i bought dark grey, and they didn't fade",Five Stars,1492041600,,
3.0,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Black'}",jami,they fit great. but they fade bad,Three Stars,1492041600,,
4.0,True,"04 5, 2017",A3T8NHQYBQSV1X,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Black'}",Mark,i only give four stars because the pants have no pockets.,Four Stars,1491350400,,
3.0,True,"03 24, 2017",A1G0HYMR02WM2W,B000YFSR4W,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Cici Ciconia,average product.  as described.,Three Stars,1490313600,,
5.0,True,"03 11, 2017",A2BFZUQ2XV535H,B000YFSR4W,"{'Size:': ' Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,comfy fit,Five Stars,1489190400,,
2.0,True,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Black'}",Sammy C.,nice pants but too small for a medium. return it.,Returned also,1487635200,,
2.0,True,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Navy'}",Sammy C.,nice pants but too small for a medium. returned it.,Returned,1487635200,,
4.0,True,"02 21, 2017",A1Y01U6OZLZE7I,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Heather Devine,"very comfy. if they had pockets, theyd be awesome! i bought these for me to lounge around in and my husband has stolen them. i might have to buy another pair!",Comfy and warm.,1487635200,,
1.0,True,"02 8, 2017",A21HH0VIBKK80J,B000YFSR4W,,Sondra McDonald,"was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",1486512000,,
3.0,True,"02 1, 2017",A1G0HYMR02WM2W,B000YFSR4W,"{'Size:': ' XXX-Large', 'Color:': ' Light Steel'}",Cici Ciconia,as described.,Three Stars,1485907200,,
5.0,True,"07 22, 2015",A3CNRM11BHAR1A,B0012DR1LU,,DD,havaiana's are the best!!!,Five Stars,1437523200,,
5.0,True,"08 6, 2014",A3CNRM11BHAR1A,B0012DR1LU,,DD,perfect color!,I love Havaianas!,1407283200,,
1.0,True,"02 19, 2018",A276HQXYS553QW,B0014F8TIU,"{'Size:': ' One Size', 'Color:': ' Black/White'}",AvidShopper,should have listened to other reviews. the elastics does not hold up.,One Star,1518998400,,
1.0,True,"02 19, 2018",A276HQXYS553QW,B0014F8TIU,"{'Size:': ' One Size', 'Color:': ' White/Black'}",AvidShopper,constantly rolls down,One Star,1518998400,,
5.0,True,"09 26, 2017",A3BN0MRGRDKM0J,B0014F8TIU,"{'Size:': ' One Size', 'Color:': ' Red/White/Blue'}",j.morris,superrrr thigh high. im 54 and it easily reaches 3/4 up my thigh!!,Great!!! Very high!,1506384000,,
4.0,True,"10 31, 2015",A276HQXYS553QW,B0014F8TIU,"{'Size:': ' One Size', 'Color:': ' Red/White/Blue'}",AvidShopper,i just wish they would not roll down.,Cute but will roll,1446249600,,
4.0,True,"01 29, 2016",A3HX4X3TIABWOV,B0014HA6VG,"{'Size:': ' One Size', 'Color:': ' Fireman (Red)'}",Denise A. Conte,"sadly, not a true red. it's definitely orange",Four Stars,1454025600,,
5.0,True,"01 22, 2016",A3HX4X3TIABWOV,B0014HA6VG,"{'Size:': ' One Size', 'Color:': ' Space Hero (Blue)'}",Denise A. Conte,"well made, soft, thick & so very colorful. bought the just as gorgeous rich, red fireman's scarf, too. my little fella is quite the fashion plate! and toasty, too!","Well made, soft, thick & so very colorful ...",1453420800,,
3.0,True,"07 12, 2015",A1Z8U8IPBLBEU5,B0017LD0BM,{'Size:': ' 1.50'},Seth Hanson,not pretty for fashion but great around the house and work.,Three Stars,1436659200,,
2.0,True,"05 21, 2015",A36GNVEQP92OPA,B0017LD0BM,{'Size:': ' 2.50'},Peter B. Thorp,"i'm not sure i was shipped the correct style.  the ones i received are a lot clunkier than i expected, although the quality is fine.",Huh,1432166400,,
4.0,True,"12 29, 2014",A33GD4H5O1MK6S,B0017LD0BM,{'Size:': ' 3.25'},phil bensinger,excellent value,excellent value and quality,1419811200,,
3.0,True,"12 14, 2012",A12DWXDNZQTKXQ,B0017LD0BM,{'Size:': ' 2.75'},TDL Chicago,"they are fine for the value, particularly since i lose so many
reading glasses.  some of the screws do require constant
tightening.",loose screws,1355443200,,
4.0,True,"12 25, 2009",A2VR6SWVSF6K4,B0017LD0BM,{'Size:': ' 2.25'},C. Schmitt,"it is so handy to have this many reading glasses at such a reasonable price.  i like this style reading glasses instead of the ones with nose pieces, i find this style more comfortable.  these glasses are very nice...cheaper than walmart!",Good Value,1261699200,,
3.0,True,"07 12, 2015",A1Z8U8IPBLBEU5,B0017LGD34,,Seth Hanson,not pretty for fashion but great around the house and work.,Three Stars,1436659200,,
2.0,True,"05 21, 2015",A36GNVEQP92OPA,B0017LGD34,,Peter B. Thorp,"i'm not sure i was shipped the correct style.  the ones i received are a lot clunkier than i expected, although the quality is fine.",Huh,1432166400,,
4.0,True,"12 29, 2014",A33GD4H5O1MK6S,B0017LGD34,,phil bensinger,excellent value,excellent value and quality,1419811200,,
3.0,True,"12 14, 2012",A12DWXDNZQTKXQ,B0017LGD34,,TDL Chicago,"they are fine for the value, particularly since i lose so many
reading glasses.  some of the screws do require constant
tightening.",loose screws,1355443200,,
4.0,True,"12 25, 2009",A2VR6SWVSF6K4,B0017LGD34,,C. Schmitt,"it is so handy to have this many reading glasses at such a reasonable price.  i like this style reading glasses instead of the ones with nose pieces, i find this style more comfortable.  these glasses are very nice...cheaper than walmart!",Good Value,1261699200,,
1.0,True,"03 12, 2018",A3QY3THQ42WSCQ,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,waaaay too big,One Star,1520812800,,
5.0,True,"02 8, 2018",AGZ5OOZVDO194,B000YFSR5G,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Amazon Customer,comfortable,Five Stars,1518048000,,
4.0,True,"07 1, 2010",A3GJ3DJU1RXOHN,B000YFSR4W,,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,1277942400,35,
5.0,True,"10 25, 2017",A232J1FHOQI5YN,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Navy'}",Louis Robbio,good product for the price.  used very day and no problem.,Five Stars,1508889600,,
5.0,True,"10 14, 2017",A2ON4RYI9Z4SQ,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Light Steel'}",Fhteacher,good fit even after washing in hot water to force shrinking. i have a 30 inch inseam and 34 waist and got a medium size. note that these sweatpants are very thick so not good for warm climates. good quality and great price.,Good fit,1507939200,3,
1.0,True,"03 12, 2018",A3QY3THQ42WSCQ,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,waaaay too big,One Star,1520812800,,
5.0,True,"07 30, 2017",A232J1FHOQI5YN,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Light Steel'}",Louis Robbio,excellent value.  comfortable.,Excellent Product,1501372800,,
5.0,True,"06 16, 2017",A1EZN3E9R322YJ,B000YFSR5G,"{'Size:': ' XXX-Large', 'Color:': ' Deep Royal'}",wayne ereira,"typical hanes quality. good weight, sized just right, made pretty well",Typical Quality,1497571200,,
3.0,True,"04 18, 2017",A3T8NHQYBQSV1X,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Navy'}",Mark,"the waist string broke first time trying them on. luckily i don't really need the wast string but it would be nice if it did not break.

that being said the pants fit as expected and are comfortable. probably shop around next time i make a sweatpant purchase.",Don't sweat the pants,1492473600,,
5.0,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Charcoal Heather'}",jami,"fit perfectly. i bought dark grey, and they didn't fade",Five Stars,1492041600,,
3.0,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Black'}",jami,they fit great. but they fade bad,Three Stars,1492041600,,
4.0,True,"04 5, 2017",A3T8NHQYBQSV1X,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Black'}",Mark,i only give four stars because the pants have no pockets.,Four Stars,1491350400,,
3.0,True,"03 24, 2017",A1G0HYMR02WM2W,B000YFSR5G,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Cici Ciconia,average product.  as described.,Three Stars,1490313600,,
5.0,True,"02 8, 2018",AGZ5OOZVDO194,B000YFSR4W,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Amazon Customer,comfortable,Five Stars,1518048000,,
5.0,True,"03 11, 2017",A2BFZUQ2XV535H,B000YFSR5G,"{'Size:': ' Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,comfy fit,Five Stars,1489190400,,
2.0,True,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Black'}",Sammy C.,nice pants but too small for a medium. return it.,Returned also,1487635200,,
2.0,True,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Navy'}",Sammy C.,nice pants but too small for a medium. returned it.,Returned,1487635200,,
4.0,True,"02 21, 2017",A1Y01U6OZLZE7I,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Heather Devine,"very comfy. if they had pockets, theyd be awesome! i bought these for me to lounge around in and my husband has stolen them. i might have to buy another pair!",Comfy and warm.,1487635200,,
1.0,True,"02 8, 2017",A21HH0VIBKK80J,B000YFSR5G,,Sondra McDonald,"was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",1486512000,,
3.0,True,"02 1, 2017",A1G0HYMR02WM2W,B000YFSR5G,"{'Size:': ' XXX-Large', 'Color:': ' Light Steel'}",Cici Ciconia,as described.,Three Stars,1485907200,,
5.0,True,"01 23, 2017",A2BFZUQ2XV535H,B000YFSR5G,,Amazon Customer,very comfy for wearing at home.,Five Stars,1485129600,,
5.0,True,"03 8, 2016",A3E30OLSMGJEVK,B000YFSR5G,,ladybug,so comfortable and soft.,Hanes pants,1457395200,,
2.0,True,"10 26, 2015",A26TEJJ6YOGWMZ,B000YFSR5G,,Henry A.,"did not fit well. was not comfortable. switched to ""fruit of the loom"". fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",1445817600,,
3.0,True,"06 11, 2015",A2J9WEIRNVTX61,B000YFSR5G,,Wildcat,"no pockets and huge, the bottom of the pants go over shoes",large with no pockets,1433980800,,
4.0,True,"05 24, 2015",A2UUEV4MYOJY66,B000YFSR5G,,Fix-it Man,not much for wearing anything other than jeans. these fit ok for my size. nice for lounging in around the house.,Fleece Pants,1432425600,,
5.0,True,"03 8, 2016",A3E30OLSMGJEVK,B000YFSR5G,,ladybug,so comfortable and soft.,Hanes pants,1457395200,,
2.0,True,"10 26, 2015",A26TEJJ6YOGWMZ,B000YFSR5G,,Henry A.,"did not fit well. was not comfortable. switched to ""fruit of the loom"". fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",1445817600,,
3.0,True,"06 11, 2015",A2J9WEIRNVTX61,B000YFSR5G,,Wildcat,"no pockets and huge, the bottom of the pants go over shoes",large with no pockets,1433980800,,
4.0,True,"05 24, 2015",A2UUEV4MYOJY66,B000YFSR5G,,Fix-it Man,not much for wearing anything other than jeans. these fit ok for my size. nice for lounging in around the house.,Fleece Pants,1432425600,,
5.0,True,"02 4, 2015",A36GNVEQP92OPA,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Navy'}",Peter B. Thorp,"love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.",Five Stars,1423008000,,
5.0,True,"10 25, 2017",A232J1FHOQI5YN,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Navy'}",Louis Robbio,good product for the price.  used very day and no problem.,Five Stars,1508889600,,
5.0,True,"10 14, 2017",A2ON4RYI9Z4SQ,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Light Steel'}",Fhteacher,good fit even after washing in hot water to force shrinking. i have a 30 inch inseam and 34 waist and got a medium size. note that these sweatpants are very thick so not good for warm climates. good quality and great price.,Good fit,1507939200,3,
4.0,True,"07 1, 2010",A3GJ3DJU1RXOHN,B000YFSR5G,,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,1277942400,35,
5.0,True,"07 30, 2017",A232J1FHOQI5YN,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Light Steel'}",Louis Robbio,excellent value.  comfortable.,Excellent Product,1501372800,,
5.0,True,"06 16, 2017",A1EZN3E9R322YJ,B000YFSR4W,"{'Size:': ' XXX-Large', 'Color:': ' Deep Royal'}",wayne ereira,"typical hanes quality. good weight, sized just right, made pretty well",Typical Quality,1497571200,,
3.0,True,"04 18, 2017",A3T8NHQYBQSV1X,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Navy'}",Mark,"the waist string broke first time trying them on. luckily i don't really need the wast string but it would be nice if it did not break.

that being said the pants fit as expected and are comfortable. probably shop around next time i make a sweatpant purchase.",Don't sweat the pants,1492473600,,
5.0,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Charcoal Heather'}",jami,"fit perfectly. i bought dark grey, and they didn't fade",Five Stars,1492041600,,
