textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²),Text,Actual_Score,GPT 3.5 Score
bc7cede054, I don`t have an invite  i might try Mr P Bale for an invite,I don`t have an invite  i might try Mr P Bale for an invite,neutral,morning,0-20,Cuba,11326616.0,106440.0,106.0,` invite might try mr p bale invite,3,2.0
2a9d72ee1c,9. shopping 10. Latte with my sis 11. Friday- Meets at the FAU 12. Fire- Steet- Party  13. slowmotion in the park 13. partying my bday,9. shopping 10. Latte with my sis 11. Friday- Meets at the FAU 12. Fire- Steet- Party  13. slowmotion in the park 13. partying my bday,neutral,noon,60-70,Luxembourg,625978.0,2590.0,242.0,9. shopping 10. latte sis 11. friday- meets fau 12. fire- steet- party 13. slowmotion park 13. partying bday,3,3.0
b7e2fef42e,just called Toyota. Car won`t be ready til 5.,won`t be ready til 5.,negative,night,70-100,Bahamas,393244.0,10010.0,39.0,called toyota . car ` ready til 5 .,1,2.0
9b210c4a6f, Haha...YAY!!! I`M CURED!!!!,,positive,noon,60-70,Guinea-Bissau,1968001.0,28120.0,70.0,haha ... yay ! ! ! ` cured ! ! ! !,5,5.0
88a1a58eeb,I have to go to work with out my  and ,I have to go to work with out my  and,neutral,night,70-100,Niger,24206644.0,1266700.0,19.0,go work,3,1.0
ed9bf641bd, ... I think I`m gonna fail aswel!,fail,negative,noon,21-30,Montenegro,628066.0,13450.0,47.0,... think ` gon na fail aswel !,1,1.0
21e7f12c06,I love it when it rains on me when im golfing,love it wh,positive,morning,0-20,Lithuania,2722289.0,62700.0,43.0,love rains im golfing,5,4.0
cf637549f3, and Radio X 96.1 is going all sports next month. Radio is dead.  #grandrapids,Radio is dead.,negative,morning,46-60,Greece,10423054.0,128900.0,81.0,radio x 96.1 going sports next month . radio dead . # grandrapids,1,2.0
2f328b7883,Shelf from Ikea fell off the wall. damage done...about $78.95 worth. Or at least thats my estimate.,damage done...a,negative,night,31-45,Spain,46754778.0,498800.0,94.0,shelf ikea fell wall . damage done ... $ 78.95 worth . least thats estimate .,2,1.0
3ca5811d5c,#3wordsaftersex I haven`t started,#3wordsaftersex I haven`t started,neutral,night,70-100,United Kingdom,67886011.0,241930.0,281.0,# 3wordsaftersex ` started,3,2.0
33835a70d1," Happy Birthday!  What`s better than getting birthday greetings from strangers? Very little, that`s what! (I kid!) <3",Happy Birthday!,positive,night,70-100,Slovenia,2078938.0,20140.0,103.0,"happy birthday ! ` better getting birthday greetings strangers ? little , ` ! ( kid ! ) < 3",5,5.0
d3cff5f3ae,"feelin` somewhat down; ugh, i don`t want to have an exam! oh well... 5 days baby!",feelin` somewhat down;,negative,morning,0-20,Greece,10423054.0,128900.0,81.0,"feelin ` somewhat ; ugh , ` want exam ! oh well ... 5 days baby !",1,3.0
86555f143f,_C hahaha i agree. im s glad Aiden won tonights show and greg should have got the other place,won,positive,night,70-100,Equatorial Guinea,1402985.0,28050.0,50.0,_c hahaha agree . im glad aiden tonights show greg got place,5,3.0
d60596aed5, any chance of seeing you at a race in germany? unfortunately hardly any tv & news coverage of cycling here anymore!,unfortunately,negative,morning,0-20,China,1439323776.0,9388211.0,153.0,chance seeing race germany ? unfortunately hardly tv & news coverage cycling anymore !,2,2.0
,,,,,,,,,,,5,3.0
b99f74037d, it`s ok because one of my favorite movie series is Star Wars. That makes me more of a dork than you,favorite,positive,morning,46-60,Argentina,45195774.0,2736690.0,17.0,` ok one favorite movie series star wars . makes dork,5,2.0
8a6f37f7a4," No this is not redirects, this is just updating posts on our website massage.dk .. next item => publish, next item => pulish","No this is not redirects, this is just updating posts on our website massage.dk .. next item => publish, next item => pulish",neutral,morning,0-20,Norway,5421241.0,365000.0,15.0,"redirects , updating posts website massage.dk .. next item = > publish , next item = > pulish",3,1.0
5298c6f2b9,Gone to the shiggity shwa. back Sunday.,Gone to the shiggity shwa. back Sunday.,neutral,night,70-100,Guyana,786552.0,196850.0,4.0,gone shiggity shwa . back sunday .,3,2.0
759016017b, I miss you!  Come to Michigan like now....I can`t wait till July,miss,negative,morning,0-20,Malawi,19129952.0,94280.0,203.0,miss ! come michigan like .... ` wait till july,2,2.0
,,,,,,,,,,,4,3.0
5eff927ac5,That mango shake made ALL the difference.  - http://tweet.sg,That mango shake made ALL the difference.,neutral,night,31-45,Comoros,869601.0,1861.0,467.0,mango shake made difference . - http : //tweet.sg,3,3.0
a012a09c43, HAHA I took the quiz on fb and missed the mcfly one,HAHA I took the quiz on fb and missed the mcfly one,neutral,morning,0-20,Trinidad and Tobago,1399488.0,5130.0,273.0,haha took quiz fb missed mcfly one,3,2.0
c0f32df87e,_O Awesome! My family owns it...The Flowers.. and we love having your kids there! They seem to have lots of fun!!,we love,positive,night,70-100,Madagascar,27691018.0,581795.0,48.0,_o awesome ! family owns ... flowers .. love kids ! seem lots fun ! !,4,5.0
78e07d2075, girl you know beauty has a price,,neutral,night,31-45,Algeria,43851044.0,2381740.0,18.0,girl know beauty price,3,2.0
3e8c5c8cdd,i`m probably the only person in the world that uses tweetie from my ipod touch & not an iphone  ghetto? haha,i`m probably the only person in the world that uses tweetie from my ipod touch & not an iphone  ghetto? haha,neutral,night,31-45,Mexico,128932753.0,1943950.0,66.0,` probably person world uses tweetie ipod touch & iphone ghetto ? haha,3,1.0
d4e8a37667,hey Twitters,hey Twitters,neutral,morning,46-60,Afghanistan,38928346.0,652860.0,60.0,hey twitters,3,3.0
16a93afee7, really?!?! It looks like its going to rain here but its all just gray.... La is a bummer sumtimes,bummer,negative,morning,46-60,Ethiopia,114963588.0,1000000.0,115.0,really ? ! ? ! looks like going rain gray .... la bummer sumtimes,1,2.0
ff119794a2, She does especially Pink ones LOL  What beautiful creatures they are!,t beautiful,positive,noon,60-70,Oman,5106626.0,309500.0,16.0,especially pink ones lol beautiful creatures !,5,5.0
941fc6d22b,  Getting dizzy. Going to have to lower my original raise. Please don`t think any less of me.,Getting dizzy. Going to have to lower my original raise. Please don`t think any less of me.,negative,morning,0-20,Democratic Republic of the Congo,89561403.0,2267050.0,40.0,getting dizzy . going lower original raise . please ` think less .,1,1.0
d5ebca68b1,Done with my drew and jayk handmade gifts now watching old menudo vids,Done with my drew and jayk handmade gifts now watching old menudo vids,neutral,noon,21-30,Malaysia,32365999.0,328550.0,99.0,done drew jayk handmade gifts watching old menudo vids,3,3.0
84fbb4153d,*meow* a week ago today  was here and we were road trippin,*meow* a week ago today  was here and we were road trippin,neutral,morning,0-20,Micronesia,115023.0,700.0,164.0,* meow * week ago today road trippin,3,3.0
4a8224c204,Not happy got a big choice to make,Not happy got a big choice to make,negative,morning,0-20,Serbia,8737371.0,87460.0,100.0,happy got big choice make,1,3.0
89f565c172,is playing with Windows 7 RC,is playing with Windows 7 RC,neutral,night,31-45,Maldives,540544.0,300.0,1802.0,playing windows 7 rc,3,3.0
60863476b7, you looked great for being sick yesterday! i`m sorry I didn`t really make an effort to say hi...  I was preoccupied for a while,you looked great for being sick yesterday! i`m sorry I didn`t really make an effort to say hi..,neutral,morning,0-20,Saint Vincent and the Grenadines,110940.0,390.0,284.0,looked great sick yesterday ! ` sorry ` really make effort say hi ... preoccupied,3,2.0
ecff893398," Thanks for the headsup re: tour, just booked 4 tickets for the Palace on 20th June",Thanks for the headsup,positive,morning,0-20,New Zealand,4822233.0,263310.0,18.0,"thanks headsup : tour , booked 4 tickets palace 20th june",5,4.0
5c916f3364,I can`t help it if I`m a GRAMMAR NAZI!,I can`t help it if I`m a GRAMMAR NAZI!,neutral,noon,21-30,Cameroon,26545863.0,472710.0,56.0,` help ` grammar nazi !,3,2.0
0565af554d,"Good morning universe, how are you today",Good morning,positive,night,31-45,Sierra Leone,7976983.0,72180.0,111.0,"good morning universe , today",4,5.0
a2f9a26b7d, aww,aww,neutral,morning,0-20,Trinidad and Tobago,1399488.0,5130.0,273.0,aww,3,5.0
0217e3d052,  oh hi terri good now what about you? any good gossip,oh hi terri good now what about you? any good gossip,positive,night,70-100,Suriname,586632.0,156000.0,4.0,oh hi terri good ? good gossip,4,3.0
55dff06e82,Oh tonight... Looking forward to it,Looking,positive,noon,60-70,Tunisia,11818619.0,155360.0,76.0,oh tonight ... looking forward,4,4.0
5fb6067e31,I ran over a turtle.,I ran over a turtle.,neutral,noon,21-30,United Arab Emirates,9890402.0,83600.0,118.0,ran turtle .,3,2.0
7b50668220,Happy Mother`s Day Mama bear,Happy Mother`s Day,positive,morning,46-60,United States of America,331002651.0,9147420.0,36.0,happy mother ` day mama bear,5,5.0
55bfdcf9bf," Sorry Mike, was assuming it was music that was missing..I don`t know then.. a mystery..",,negative,noon,21-30,Saint Kitts and Nevis,53199.0,260.0,205.0,"sorry mike , assuming music missing .. ` know .. mystery ..",2,2.0
57eb23af61,http://twitpic.com/67ot5 - the most amazing decoration of a store i`ve ever seen... & it`s almost been 2 years,amazing,positive,morning,46-60,Mali,20250833.0,1220190.0,17.0,http : //twitpic.com/67ot5 - amazing decoration store ` ever seen ... & ` almost 2 years,4,3.0
8d1756a180,morning! just got my coffee,morning! just got my coffee,neutral,noon,21-30,Lebanon,6825445.0,10230.0,667.0,morning ! got coffee,3,4.0
b58af3b61f,got one because of my babygirl,got one because of my babygirl,neutral,noon,60-70,Poland,37846611.0,306000.0,124.0,got one babygirl,3,3.0
2f55f93532," Yes, we will! We should maybe do it in a DM though so we don`t annoy our followers. Thought of that too late.    Good night!",so we don`t annoy our followers. Thought of that too late.    Good nigh,positive,noon,21-30,Poland,37846611.0,306000.0,124.0,"yes , ! maybe dm though ` annoy followers . thought late . good night !",4,2.0
f78e1525a6,"I have myself barely 4 hrs of sleep and the Lord blessed me with what feels like 8, but it came with a sore throat  pumpin out this paper!","I have myself barely 4 hrs of sleep and the Lord blessed me with what feels like 8, but it came with a sore throat  pumpin out this paper!",neutral,night,31-45,Maldives,540544.0,300.0,1802.0,"barely 4 hrs sleep lord blessed feels like 8 , came sore throat pumpin paper !",3,3.0
e21d18976b," Not a problem. I loved that idea, and of course the photos were just perfect!",perfect!,positive,night,31-45,Panama,4314767.0,74340.0,58.0,"problem . loved idea , course photos perfect !",5,4.0
a99c5a9003,"first up, make up for lost time with jelly. Jalan jalan just the 2 of us  and the rollerblading with my pumpkin. Happeh",Happeh,neutral,morning,0-20,China,1439323776.0,9388211.0,153.0,"first , make lost time jelly . jalan jalan 2 us rollerblading pumpkin . happeh",3,4.0
b53e94652a,How freaking cold is it out in Sydney tonight...,How freaking cold is it out in Sydney tonight...,neutral,night,31-45,Barbados,287375.0,430.0,668.0,freaking cold sydney tonight ...,3,2.0
,,,,,,,,,,,4,3.0
bf60c2d52b,excited how the jon does will do today  Good luck guys ;),excited,positive,morning,46-60,Haiti,11402528.0,27560.0,414.0,excited jon today good luck guys ; ),4,5.0
85f2090f04, That is messed up. I hope your day gets better.,That is messed up. I hope your day gets better.,neutral,morning,0-20,Congo (Congo-Brazzaville),5518087.0,342000.0,16.0,messed . hope day gets better .,3,2.0
2a72ef762f, omg you`ve never seen `the Ring` its a creppy **** movie,****,negative,noon,21-30,Saudi Arabia,34813871.0,2149690.0,16.0,omg ` never seen ` ring ` creppy * * * * movie,1,1.0
807aa145f4,"http://www.facebook.com/pages/HelloTxt/73275306275 this message is posted on HelloTxt Facebook Fan page through HelloTxt, check it out","this message is posted on HelloTxt Facebook Fan page through HelloTxt, check it out",neutral,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164.0,17200.0,67.0,"http : //www.facebook.com/pages/hellotxt/73275306275 message posted hellotxt facebook fan page hellotxt , check",3,2.0
f3b8e59928, ahahaha! That`s funny.,funny.,positive,night,31-45,Liechtenstein,38128.0,160.0,238.0,ahahaha ! ` funny .,5,5.0
64692830a3, But...but...I`m not!,But...but...I`m not!,neutral,morning,0-20,Hungary,9660351.0,90530.0,107.0,... ... ` !,3,1.0
,,,,,,,,,,,5,3.0
e2067d2638,_cass my throat hurts today.  blahhh.,hurts,negative,night,70-100,Gambia,2416668.0,10120.0,239.0,_cass throat hurts today . blahhh .,2,2.0
f75b6bb190," Yes, sir!   See here http://is.gd/wz2K","Yes, sir!   See her",neutral,night,31-45,Sierra Leone,7976983.0,72180.0,111.0,"yes , sir ! see http : //is.gd/wz2k",3,1.0
89e5f736a1,I right here...don`t worry,don`t worry,negative,noon,21-30,Saint Kitts and Nevis,53199.0,260.0,205.0,right ... ` worry,1,2.0
f3933c4b73, bitter?  why? *hug* ****,,neutral,noon,60-70,Switzerland,8654622.0,39500.0,219.0,bitter ? ? * hug * * * * *,3,2.0
f0dd6aa1cd, lost luggage? Sorry to hear.  you should check out our selection of travel luggage here: http://budurl.com/9mua,Sorry,negative,night,31-45,Guyana,786552.0,196850.0,4.0,lost luggage ? sorry hear . check selection travel luggage : http : //budurl.com/9mua,2,2.0
374e6aa938, ahh when i was there it was closed,it was closed,negative,morning,46-60,Solomon Islands,686884.0,28000.0,25.0,ahh closed,2,2.0
24cb365662,Some goodies bagged at the car boot including some very cute cross stitch birds for my craft room! The man selling was a sweetie,very cute,positive,night,70-100,Croatia,4105267.0,55960.0,73.0,goodies bagged car boot including cute cross stitch birds craft room ! man selling sweetie,4,4.0
31b002108e,My neck hurts a lot.,,negative,morning,0-20,United States of America,331002651.0,9147420.0,36.0,neck hurts lot .,2,1.0
a6bd185f25,it`s nice to see my #euruko pictures (http://twurl.cc/xd1) on the big screen during a conference break,nice,positive,morning,0-20,Jamaica,2961167.0,10830.0,273.0,` nice see # euruko pictures ( http : //twurl.cc/xd1 ) big screen conference break,4,4.0
cbab90c494,--please do SNL every week!! i couldn`t quit laughing!! u+snl=best nite ever,i couldn`t quit laughing!! u+snl=best nite ever,positive,morning,46-60,Mozambique,31255435.0,786380.0,40.0,-- please snl every week ! ! ` quit laughing ! ! u+snl=best nite ever,5,5.0
92ca79a285,the apartment is starting to feel like mine.,the apartment is starting to feel like mine.,neutral,noon,60-70,Iceland,341243.0,100250.0,3.0,apartment starting feel like mine .,3,4.0
be136d7098," : Hi, i think u should try Ph? in Vietnam, it`s really quite delicious",delicious,positive,morning,46-60,Brunei,437479.0,5270.0,83.0,": hi , think u try ph ? vietnam , ` really quite delicious",5,4.0
c2a17084e9, l`m on 3 days too matt. No fun this weekend.,No fun,negative,morning,46-60,Timor-Leste,1318445.0,14870.0,89.0,l ` 3 days matt . fun weekend .,2,4.0
a86631f434,Just watched The Goode Family premiere online... And I think this may be the last episode I watch. It`s pretty amazingly mediocre  pass.,amazingly,positive,morning,0-20,France,65273511.0,547557.0,119.0,watched goode family premiere online ... think may last episode watch . ` pretty amazingly mediocre pass .,4,2.0
cde74aef92,I don`t think the neti pot is working for me  maybe I`m doing it wrong?,I don`t think the neti pot is working,negative,morning,46-60,Congo (Congo-Brazzaville),5518087.0,342000.0,16.0,` think neti pot working maybe ` wrong ?,1,2.0
64b94d097c,Now i cant find him  Gonna be a sleepless night tonight,cant find him,negative,noon,60-70,Zambia,18383955.0,743390.0,25.0,cant find gon na sleepless night tonight,1,2.0
982b1c05d3," LOVE the album guys and can`t wait for the official release  Just curious, what top 3 softsynths/DAW were used on it?",,positive,morning,0-20,Egypt,102334404.0,995450.0,103.0,"love album guys ` wait official release curious , top 3 softsynths/daw used ?",5,4.0
bc065a6e9a,I`m nauseous  I need a yogurt or something..,nauseous,negative,night,70-100,Laos,7275560.0,230800.0,32.0,` nauseous need yogurt something ..,1,1.0
887d2bda89,"It`s a sad day, found the first scratch on my car.",sad,negative,night,70-100,Belize,397628.0,22810.0,17.0,"` sad day , found first scratch car .",1,2.0
ba5360e2d7,"Getting ready to go to sleeep! Grinding early in the morning! Yay, money!","Yay, money!",positive,night,31-45,Zimbabwe,14862924.0,386850.0,38.0,"getting ready go sleeep ! grinding early morning ! yay , money !",4,4.0
283eb0d919, Would defo have done that but Im already booked over t`other side of the country,Would defo have done that but Im already booked over t`other side of the country,neutral,night,70-100,India,1380004385.0,2973190.0,464.0,would defo done im already booked ` side country,3,2.0
b2ace0d52f,sitting in school  sucks to be me!,sucks,negative,morning,0-20,Benin,12123200.0,112760.0,108.0,sitting school sucks !,1,1.0
5ebe91c7b9,I want more followers.,I want more followers.,neutral,night,31-45,Djibouti,988000.0,23180.0,43.0,want followers .,3,2.0
,,,,,,,,,,,4,3.0
5238b26d73, Oh noooooo!!!      I`m so sorry!!  That sucks hard!,That,negative,morning,0-20,Belarus,9449323.0,202910.0,47.0,oh noooooo ! ! ! ` sorry ! ! sucks hard !,1,1.0
a8c2579b73,Celebrating the fact that Norwich City got relegated yesterday.  Seems like myself and the awfully nice Mr Fry are football rivals!,awfully,negative,night,31-45,Barbados,287375.0,430.0,668.0,celebrating fact norwich city got relegated yesterday . seems like awfully nice mr fry football rivals !,2,1.0
a95d808e79,Just loaned out a set of aerobars to team mate for tomorrow`s Texas Cup race at Alkek. Bummed I won`t be there.,Bummed I won`t be there.,negative,morning,46-60,Kuwait,4270571.0,17820.0,240.0,loaned set aerobars team mate tomorrow ` texas cup race alkek . bummed ` .,2,2.0
0d85e6d515,"Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace",,positive,night,31-45,Lesotho,2142249.0,30360.0,71.0,"done disneyland , kid ` knocked , stopped hotel bar grabbed grey goose & tonic way ... peace",5,4.0
b10be98ca5, say it isn`t so!,say it isn`t so!,neutral,noon,21-30,Saint Kitts and Nevis,53199.0,260.0,205.0,say ` !,3,1.0
9ab90ac450,"o/*\o (high five) to all of our fans! It`s finally here! I`ll write up a fancy news post shortly, wanted to get the mod itself out ASAP",(high five) to all of our fans!,positive,morning,0-20,Cuba,11326616.0,106440.0,106.0,"o/ * \o ( high five ) fans ! ` finally ! ` write fancy news post shortly , wanted get mod asap",5,4.0
687aee2f7e, Just investigated whether I could change my username to Ermintrude - someone`s already nabbed it,Just investigated whether I could change my username to Ermintrude - someone`s already nabbed it,neutral,night,31-45,Djibouti,988000.0,23180.0,43.0,investigated whether could change username ermintrude - someone ` already nabbed,3,2.0
a1c4eb4470,chilling at the casa,chilling at the casa,neutral,noon,60-70,Tanzania,59734218.0,885800.0,67.0,chilling casa,3,3.0
c7d44a0dcc,It is 00:03 I`m Wrecked  I`M Hungry & I have to get up early. Not the perfect Fri night LOL night,Not the perfect Fri night,negative,noon,60-70,Sudan,43849260.0,1765048.0,25.0,00:03 ` wrecked ` hungry & get early . perfect fri night lol night,2,3.0
64ed512788,Sick. With a flu like thing.,Sick.,negative,night,70-100,Italy,60461826.0,294140.0,206.0,sick . flu like thing .,1,1.0
038a99e313,mothers day...love you madre   chels tonight. cant wait for her to see her present!,,positive,morning,46-60,Central African Republic,4829767.0,622980.0,8.0,mothers day ... love madre chels tonight . cant wait see present !,4,5.0
a1f34c6c29, yeah bit it is overheating a bit and the AC died.,overheating,negative,noon,60-70,Bangladesh,164689383.0,130170.0,1265.0,yeah bit overheating bit ac died .,2,2.0
ec2ace4113,Whew! Moving commercial-sized freezer and cooler a lot more work than I expected. Missing the HTC roundtable,Whew!,positive,morning,0-20,Argentina,45195774.0,2736690.0,17.0,whew ! moving commercial-sized freezer cooler lot work expected . missing htc roundtable,5,3.0
462a5b943e, It was on March 22nd in UK..today all quiet here regarding mothers day  Very sweet of u to wish though..thanks!,Very sweet of,positive,night,31-45,Comoros,869601.0,1861.0,467.0,march 22nd uk .. today quiet regarding mothers day sweet u wish though .. thanks !,5,4.0
773c759b75, It`s still up the duff boo,It`s still up the duff boo,neutral,noon,21-30,Libya,6871292.0,1759540.0,4.0,` still duff boo,3,1.0
e0b23e49c6," LOL, such a dork. Hmm, is that book pretty good? Maybe I should check it out. That`s why 4gb sucks  8 isn`t much better.",sucks,negative,morning,0-20,Ukraine,43733762.0,579320.0,75.0,"lol , dork . hmm , book pretty good ? maybe check . ` 4gb sucks 8 ` much better .",2,2.0
aad49b007b,"Handed out evaluation forms to my marketing 1 tutees today, one filled out that I was `aloof & condescending`! The rest love me though",love,positive,night,31-45,Tonga,105695.0,720.0,147.0,"handed evaluation forms marketing 1 tutees today , one filled ` aloof & condescending ` ! rest love though",5,4.0
1e46a09055, i think you`d look cute in the beanie hat,cute,positive,night,31-45,Iraq,40222493.0,434320.0,93.0,think ` look cute beanie hat,4,4.0
a019c63c8b," we had scones this afternoon!! they were great  we`re gonna make cupcakes this week, on Wednesday!","we had scones this afternoon!! they were great  we`re gonna make cupcakes this week, on Wednesday!",neutral,noon,60-70,North Korea,25778816.0,120410.0,214.0,"scones afternoon ! ! great ` gon na make cupcakes week , wednesday !",3,5.0
03b5049776, haha i wish i could! I look like a little boy now,haha i wish,positive,morning,46-60,Indonesia,273523615.0,1811570.0,151.0,haha wish could ! look like little boy,4,2.0
6913d9c30e, I`m saving up for a three burner weber for next year,,neutral,night,70-100,Australia,25499884.0,7682300.0,3.0,` saving three burner weber next year,3,3.0
62ccaafde6,  guess I have to get dressed and be pretty then,guess I have to get dressed and be pretty then,neutral,morning,46-60,Kazakhstan,18776707.0,2699700.0,7.0,guess get dressed pretty,3,3.0
cd5f10b26f,Has been rejected,rejected,negative,noon,21-30,Cameroon,26545863.0,472710.0,56.0,rejected,2,1.0
5f2fe28153,What do u see in her that i dont have  ,What do u see in her that i dont have,negative,morning,46-60,Ethiopia,114963588.0,1000000.0,115.0,u see dont,1,1.0
9fac949919,http://twitpic.com/4jgro - me again,http://twitpic.com/4jgro - me again,neutral,noon,60-70,Estonia,1326535.0,42390.0,31.0,http : //twitpic.com/4jgro -,3,1.0
53f12f16ca, very cute kitty,very cute kitty,positive,morning,46-60,France,65273511.0,547557.0,119.0,cute kitty,5,5.0
644b710337,im such a sucker for great cottys,im such a sucker for great cottys,neutral,morning,0-20,Mozambique,31255435.0,786380.0,40.0,im sucker great cottys,3,2.0
31a82645af, happy birthday  and  congrats  wish you were here for your lady..ill take care of her;),happy birthday  and  congrats  wish you were here for your lady..ill take care of her,positive,noon,21-30,North Korea,25778816.0,120410.0,214.0,happy birthday congrats wish lady .. ill take care ; ),4,5.0
08a7a04a8e, What the heck? Why?? What`s going on?,What the heck?,negative,morning,0-20,United States of America,331002651.0,9147420.0,36.0,heck ? ? ? ` going ?,2,1.0
3c6d20b915,http://twitpic.com/4wsue - yeah  well thanks *blushes*,thanks,positive,morning,0-20,Cambodia,16718965.0,176520.0,95.0,http : //twitpic.com/4wsue - yeah well thanks * blushes *,4,5.0
36ff69f301,on youtube watching taylor on the today show wish i was there !,wish,positive,night,31-45,Djibouti,988000.0,23180.0,43.0,youtube watching taylor today show wish !,5,3.0
b1b7d7ccb8, Having an awesome day? You should... I expect as much out of you  #awesomeupdater,u  #awesomeupdater,positive,morning,0-20,Kuwait,4270571.0,17820.0,240.0,awesome day ? ... expect much # awesomeupdater,5,5.0
d31ef9886b," oh, joy. We have the Elmo potty video too.","oh, joy. We have the Elmo potty video too.",positive,noon,21-30,Holy See,801.0,0.0,2003.0,"oh , joy . elmo potty video .",4,2.0
