score,Text
positive,"operating profit turnover nine-month period increased , respectively eur2 .4 eur43 .8 , compared corresponding period year ago ."
positive,"operating profit turnover six-month period increased , respectively , eur17 .6 eur1149 .9 , compared corresponding period 2007 ."
positive,"operating profit turnover six-month period increased , respectively eur0 .1 eur29 .0 , compared corresponding period year ago ."
positive,cargo volume grew 7 % .
positive,cargo volume increased approximately 5 % .
positive,"comparable operating profit totaled eur 854mn , eur 730mn 2004 ."
positive,"digia said consolidated net sales january-june 2010 eur67 .8 , 9.7 % period 2009 ( eur61 .9 ) ."
positive,diluted earnings per share ( eps ) rose eur 0.29 eur 0.05 .
positive,diluted earnings per share ( eps ) rose eur 0.52 versus eur 0.09 .
positive,diluted earnings per share ( eps ) rose eur 1.05 eur 0.64 .
positive,diluted earnings per share ( eps ) rose eur 3.68 eur 0.50 .
positive,diluted eps rose eur3 .68 eur0 .50 .
positive,ebit margin 1.4 % 5.1 % .
positive,"eps quarter eur0 .00 , compared eur0 .01 third quarter 2008 , representing group net sales third quarter eur15 .3 , 2.8 % compared eur14 .9 third quarter 2008 ."
positive,"eps continuing operations came 0.30 eur , 0.17 ."
positive,"equity ratio 60.9 % compared 54.2 % third quarter 2007 , net sales frozen foods business totaled eur 11.0 , 5 % third quarter 2006 ."
positive,"eur928 ,000 q1 2010 6 may 2010 - finnish textile clothing design company marimekko oyj ( hel : mmo1v ) said today net profit rose eur928 ,000 first quarter 2010 eur13 ,000 corresponding period year earlier ."
positive,"finland-based elcoteq se , privately held provider electronics manufacturing services communications companies , said thursday signed long-term manufacturing supply deal communications equipment company andrew corp. ."
positive,finnish cutlery hand tools maker fiskars oyj abp ( hel : fisas ) said today net profit rose eur 24.1 million ( usd 33.6 ) third quarter 2010 eur 17.9 million year earlier .
positive,finnish department store chain stockmann oyj abp net profit rose 39.8 mln euro ( $ 56.8 mln ) first nine months 2007 37.4 mln euro ( $ 53.4 mln ) period 2006 .
positive,"finnish lifting equipment maker konecranes oyj said july 30 , 2008 net profit rose 71.2 mln euro ( $ 111.1 mln ) first half 2008 57.1 mln euro ( $ 89.1 mln ) period 2007 ."
positive,finnish messaging solutions developer tecnomen corporation ( omx helsinki : tem1v ) said thursday ( 11 december ) received expansion order convergent charging solution latin america .
positive,finnish metal industry solutions supplier outotec oyj net profit rose 50.4 mln euro ( $ 72.5 mln ) first nine months 2007 20.1 mln euro ( $ 28.9 mln ) period 2006 .
positive,finnish metal products company componenta oyj net profit rose 26.1 mln euro ( $ 35.9 mln ) first quarter 2007 5.3 mln euro ( $ 7.3 mln ) period 2006 .
positive,finnish office supplies computer accessories dealer beltton-group plc said net profit rose 1.3 mln euro ( $ 1.7 mln ) 2006 1.13 mln euro ( $ 1.5 mln ) 2005 .
positive,"finnish security privacy software solutions developer stonesoft oyj said january 7 , 2008 preliminary sales stonegate products grew 59 pct year-on-year 3.6 mln euro ( $ 5.3 mln ) fourth quarter 2007 ."
positive,"finnish silicon wafer technology company okmetic oyj ( omx helsinki : okm1v ) reported thursday ( 7 august ) operating profit eur5 .3 period january-june 2008 , eur3 .3 corresponding period 2007 ."
positive,finnish software developer done solutions oyj said net profit increased 3.5 mln euro ( $ 4.6 mln ) 2006 2.3 mln euro ( $ 3.0 mln ) 2005 .
positive,first quarter underlying operating profit rose 41 mln eur 33 mln year earlier .
positive,"following acquisition , relacom strengthen presence finland , serving operators office market mobile fixed networks construction , installation maintenance services ."
positive,"first nine months 2010 , company 's net profit rose eur41m eur30m corresponding period 2009 ."
positive,"helsinki ( afx ) - retail wholesale group kesko reported net sales 659.4 mln eur february , increase 10.8 pct year-on-year ."
positive,"however , net sales 2010 seen grown eur598 .3 eur582 .3 2009 ."
positive,"however , sales returned growth april-june 2010 , ceo pekka eloholma said ."
positive,"ragutis , controlled finnish brewery , reported 5.4-per-cent rise beer sales 10.44 million litres held 11.09-per-cent market share ."
positive,"svyturys-utenos alus , controlled nordic group baltic beverages holding ( bbh ) , posted 4.7-per-cent growth beer sales january-may 46.22 million litres ."
positive,"december alone , members lithuanian brewers ' association sold total 20.3 million liters beer , increase 1.9 percent sales 19.92 million liters december 2004 ."
positive,"january-september 2009 , group 's net interest income increased eur 112.4 mn eur 74.3 mn january-september 2008 ."
positive,"q1 2010 , bank +àland 's net interest income increased eur 9.1 mn eur 9.7 mn ."
positive,"sweden , operating profit period review totaled eur 3.4 mn , 30.8 % corresponding period 2005 ."
positive,"fourth quarter 2009 , orion 's net profit went 33.8 % year-on-year eur33m ."
positive,"second quarter 2010 , group 's net profit rose eur 3.1 million eur 2.5 million april-june 2009 ."
positive,"second quarter 2010 , group 's net profit rose eur3 .1 eur2 .5 april-june 2009 ."
positive,"third quarter , net sales increased 12 % year-on-year eur 159.5 million , 6 % comparable currency rates growth ."
positive,"third quarter , net sales increased 12 % year-on-year eur159 .5 , 6 % comparable currency rates growth ."
positive,market share widened 48.51 percent 48.31 percent year earlier .
positive,"kesko agro eesti , retailer wholesaler grain , agricultural warehousing machinery accessories , net sales 81 million euros 2007 , increase one-tenth preceding year ."
positive,"kesko 's car import retailing business , vv-auto , saw sales grow 17.1 pct ."
positive,kone 's net sales rose 14 % year-on-year first nine months 2008 .
positive,"( adp news ) - feb 11 , 2009 - finnish management software solutions provider ixonos oyj ( hel : xns1v ) said today net profit rose eur 3.5 million ( usd 4.5 ) 2008 eur 3.1 million 2007 ."
positive,"( adp news ) - feb 12 , 2009 - finnish solutions provider affecto oyj ( hel : afe1v ) said today net profit rose eur 8.5 million ( usd 11m ) 2008 eur 7 million 2007 ."
positive,"( adp news ) - feb 6 , 2009 - finnish fishing tackle company rapala vmc corp ( hel : rap1v ) said today net profit rose eur 19.2 million ( usd 24.6 ) 2008 eur 17.5 million 2007 ."
positive,"( adp news ) - nov 5 , 2008 - finnish electronic measurement products solutions maker vaisala oyj ( omx : vaias ) said today net profit rose eur 18 million ( usd 23.1 ) first nine months 2008 eur 1"
positive,"( adp news ) - oct 29 , 2008 - finnish lifting equipment maker konecranes oyj ( omx : kcr1v ) said today net profit rose eur 116.6 million ( usd 149.1 ) first nine months 2008 eur 73.6 million"
positive,"metso expects net sales increase 10 % 2008 , comparable exchange rates ."
positive,"neste oil corp. signed long-term procurement contracts honkajoki oy findest protein oy , owned finnish food manufacturers , supply animal fat biodiesel production neste 's 200,000 b-cd porvoo , finland , refinery ."
positive,net interest income increased 4.5 % eur 31.4 mn eur 30.0 mn 2004 .
positive,"net interest income eur 152.2 mn , eur 101.0 mn 2008 ."
positive,"net interest income eur 39.3 mn , eur 32.7 mn ."
positive,net sales vegetable oil business rose eur 10.6 mn eur 10.1 mn .
positive,"nokia multimedia 's net sales totaled eur 5.7 bn , 45 % corresponding period 2005 ."
positive,operating income rose eur 696.4 mn eur 600.3 mn 2009 .
positive,"operating profit kauppalehti group rose eur 1.5 mn eur 1.3 mn , marketplaces eur 1.3 mn eur 1.0 mn third quarter 2006 ."
positive,operating profit rose eur 1.94 mn eur 2.45 mn .
positive,operating profit rose 22.1 mln eur 19.9 mln .
positive,operating profit rose eur 1.6 mn eur 1.1 mn corresponding period 2006 .
positive,operating profit rose eur 103.4 mn eur 23.2 corresponding period 2006 .
positive,operating profit rose eur 13.5 mn eur 9.7 mn corresponding period 2006 .
positive,operating profit rose eur 26.7 mn eur 14.9 mn corresponding period 2006 .
positive,operating profit rose eur 27.8 mn eur 17.5 mn 2008 .
positive,operating profit rose eur 3.2 mn eur 1.0 mn corresponding period 2008 .
positive,operating profit rose eur 4.7 mn eur 3.6 mn .
positive,operating profit rose eur 4.7 mn eur 4.6 mn .
positive,operating profit rose eur 9.2 mn eur 6.8 mn corresponding period 2007 .
positive,operating profit rose eur2 .4 eur1 .6 year earlier .
positive,"operating profit surged eur21m eur106 ,000 ."
positive,"operating profit totaled eur 37,7 mn , slightly eur 37.2 mn corresponding period 2006 ."
positive,"operating profit totaled eur 5.5 mn , eur -0.7 mn ."
positive,"operating profit eur 11.4 mn , eur 7.5 mn ."
positive,"operating profit eur 139.7 mn , 23 % eur 113.8 mn ."
positive,"order intake grew 40 % year-on-year 30 % year-on-year , respectively , eur 576 million eur 1.7 billion respective january-september july-september 2010 periods ."
positive,orders received grew 55 % year-on-year eur732m .
positive,orion pharma 's operating profit increased 42.5 % 2004 .
positive,passenger volumes rose 8.4 % accounting period .
positive,passenger-related revenue rose 5.1 % eur 460.8 mn eur 438.5 mn 2009 .
positive,pretax profit rose eur 0.6 mn eur 0.4 mn corresponding period 2005 .
positive,"pretax profit rose eur 1,019 mn eur 1,007 corresponding period 2005 ."
positive,pretax profit rose eur 17.8 mn eur 14.9 mn 2005 .
positive,"pre-tax profit totaled eur 397.4 mn , eur 164.7 mn ."
positive,"previously , company guided ebit sales growth 20 pct 10 pct respectively year ."
positive,"profit period totaled eur 39.4 mn , eur 33.9 mn corresponding period 2006 ."
positive,"profit period eur 5.9 mn , eur 1.3 mn ."
positive,"profit period eur 9.8 mn , eur 6.0 mn 2004 ."
positive,revenue grew 12 percent ( x20ac ) 3.6 billion ( us $ 4.5 billion ) .
positive,"revenue july september grew 14 percent ( euro ) 467 million year earlier , company said thursday ."
positive,revenues time grew 14 percent 43 million euros .
positive,"ruukki signed contract deliver install steel structures bridge kyronsalmi strait savonlinna , finland ."
positive,"sales latin america increased 42 % eur 432mn , total 8.7 mn mobile devices sold area , representing increase 32 % corresponding period 2009 ."
positive,sanoma magazines finland 's net sales grew eur 140.1 mn eur 131.8 mn .
positive,"satama 's net profit third quarter 2007 rose 275,000 euro ( $ 395,000 ) 270,000 euro ( $ 388,000 ) period 2006 ."
positive,"section : regional news - demand finnair 's asian traffic , measured passenger kilometers , 34.9 % august compare last year ."
positive,"svyturys-utenos alus , controlled nordic group baltic beverages holding ( bbh ) , posted 6.1 percent growth beer sales january-september 101.99 million liters ."
positive,would increase estimated sales 117 million last year .
positive,"chain posted sales 298 million euros full 2005 , rise 19.5 percent , year-on-year ."
positive,company expects net sales 2008 increase 5-10 % 2007 .
positive,"company process building new fleet placed orders 10 p-max tankers 65,200 dwt ."
positive,"company 's operating income ( ebit ) totalled eur 0.0 mn , eur -0.3 mn year-on-year ."
positive,eps outlook increased 5.6 pct 2007 7.0 pct 2008 .
positive,"fair value investment properties totaled eur 2,534.9 mn , eur 2,455.1 mn 2006 ."
positive,"finnish government announced wednesday sold 32 percent stake chemicals fertilizer group kemira oyj ( x20ac ) 655.6 million ( $ 890us million ) , sending company 's share price 6 percent ."
positive,"german company also signed code share agreement another oneworld member -- american airlines inc , part us-based amr corp ( nyse : amr ) ."
positive,"helsinki-based company , also owns salomon , atomic suunto brands , said net profit rose 15 percent three months dec. 31 ( x20ac ) 47 million ( $ 61us million ) , ( x20ac ) 40.8 million year earlier ."
positive,operating profit grain trading increased eur 2.0 mn eur 1.4 mn 2005 .
positive,stock rose second day wednesday bringing two-day rise gbx12 .0 2.0 % .
positive,stock rose third day tuesday bringing three-day rise gbx10 .50 1.8 % .
positive,transactions would increase earnings per share first quarter eur0 .28 .
positive,"recovery base metals prices increased demand metals china , however ."
positive,"new representation extends comptel 's global presence total 18 countries , serving 250 customers 80 countries worldwide ."
positive,total operating revenue grew 27.6 % year-on-year eur61m .
positive,vacon 's cash flow operations grew eur 37.1 mn eur 21.9 mn year ago .
positive,"also strengthen existing partnership cybercom `` , says teleste cto esko myllyla ."
positive,"via satlan acquisition , teleste plans expand market presence video services partner cable operators , broadcasters iptv service providers ."
positive,"acquisition , company expand offering north , central south america , said ."
positive,"`` basware 's product sales grew strongly financial period , 24 percent ."
positive,"`` second quarter 2010 firstquarter growth net sales since third quarter of2008 , `` said magnus rosen , ramirent ceo ."
positive,"`` transaction strengthens position ... design branded goods , `` said fiskars president ceo heikki allonen , pointing two groups relatively overlapping operations ."
positive,1 february 2011 - finnish textile clothing company marimekko oyj hel : mmo1v said today preliminary operating profit grew eur8 .2 2010 eur6 .3 2009 .
positive,"finnish larox signed contract talvivaara project delivery filters talvivaara nickel mine sotkamo , finland ."
positive,affecto expects net sales whole 2010 increase 2009 level reached eur 103 million .
positive,cash flow operations rose eur 52.7 mn eur 15.6 mn 2007 .
positive,commission income rose 25.7 % eur 16.1 mn eur 12.8 mn 2004 .
positive,"earnings per share january-june 2010 eur0 .30 , increase 20 % year-on-year eur0 .25 ."
positive,earnings per share eps rose eur 0.11 eur 0.03 .
positive,"elisa said mobile subscriptions grew 7 percent 2007 , mainly customers adopting so-called third generation mobile technology ."
positive,"eps quarter came 0.36 eur , 0.33 eur year ago ahead forecast 0.33 eur ."
positive,eps grew 0.04 eur 0.02 eur .
positive,exports grew 16.5 percent 19.1 million liters .
positive,"finnish investment group panostaja oyj said net profit went 8.6 mln euro $ 11.4 mln fiscal 2005-06 , ended october 31 , 2006 , 2.8 mln euro $ 3.7 mln period fiscal 2004-05 ."
positive,finnish metal components supplier componenta oyj said net profit went 3.5 mln euro $ 4.5 mln 2006 2.2 mln euro $ 2.8 mln 2005 .
positive,"finnish silicon wafer technology company okmetic oyj omx helsinki : okm1v reported thursday 30 october operating profit eur7 .4 january-september 2008 , eur6 .1 corresponding period 2007 ."
positive,"fiskars brands report net sales eur 145.8 mn , eur 138.4 mn ."
positive,helsinki afx - outokumpu technology said signed 3.5 mln eur agreement mongolia 's erdenet mining corporation engineering first hydrocopper plant built erdenet mine site .
positive,"however , proportion paid standing orders grew 2009 ."
positive,"addition demand finland , export lining stone products also increased ."
positive,"january-september 2007 , group 's net sales continuing operations rose eur 213.1 mn eur 172.6 mn corresponding period 2006 ."
positive,"july-september 2008 , yit 's net sales increased eur 970.8 mn , compared eur 906.8 mn corresponding period 2007 ."
positive,"reporting period , net sales rose 8 % year-on-year eur64 .3 , due business acquisitions realized first half 2008-09 , effect eur10 .9 review period ."
positive,"reporting period , company 's operating profit grew 43.2 % eur 6 million ."
positive,last year 's net sales rose eur 68.3 million eur 62.2 million .
positive,"last year company raised turnover approximately 7 million litas eur 2 mln , 6.1 million litas 2004 ."
positive,marimekko group 's full-year net sales estimated increase 10 % .
positive,net sales surged 30 % eur 36 million .
positive,"net sales went 1 % year-on-year eur 29 million , affected business acquisitions , realized previous financial period , effect eur 5.1 million review period ."
positive,"nevertheless , market share rose 49.14 percent 48.51 percent year earlier ."
